idx,Name,Date,Price
0,ASH,2023-09-01,93.42
1,ASH,2023-09-02,94.26
2,ASH,2023-09-03,95.01
3,ASH,2023-09-04,95.97
4,ASH,2023-09-05,97.12
5,ASH,2023-09-06,97.51
6,ASH,2023-09-07,98.87
7,ASH,2023-09-08,98.28
8,ASH,2023-09-09,97.49
9,ASH,2023-09-10,97.98
10,ASH,2023-09-11,98.47
11,ASH,2023-09-12,99.45
12,ASH,2023-09-13,99.55
13,ASH,2023-09-14,99.05
14,ASH,2023-09-15,98.56
15,ASH,2023-09-16,98.26
16,ASH,2023-09-17,98.95
17,ASH,2023-09-18,100.04
18,ASH,2023-09-19,100.74
19,ASH,2023-09-20,99.83
20,ASH,2023-09-21,100.23
21,ASH,2023-09-22,100.83
22,ASH,2023-09-23,100.53
23,ASH,2023-09-24,101.24
24,ASH,2023-09-25,102.25
25,ASH,2023-09-26,102.96
26,ASH,2023-09-27,102.65
27,ASH,2023-09-28,103.27
28,ASH,2023-09-29,103.27
29,ASH,2023-09-30,104.41
30,ASH,2023-10-01,104.62
31,ASH,2023-10-02,105.03
32,ASH,2023-10-03,105.03
33,ASH,2023-10-04,106.5
34,ASH,2023-10-05,105.76
35,ASH,2023-10-06,105.34
36,ASH,2023-10-07,106.28
37,ASH,2023-10-08,106.18
38,ASH,2023-10-09,106.92
39,ASH,2023-10-10,107.67
40,ASH,2023-10-11,107.13
41,ASH,2023-10-12,106.49
42,ASH,2023-10-13,107.45
43,ASH,2023-10-14,107.45
44,ASH,2023-10-15,106.91
45,ASH,2023-10-16,107.34
46,ASH,2023-10-17,107.12
47,ASH,2023-10-18,107.98
48,ASH,2023-10-19,107.22
49,ASH,2023-10-20,106.58
50,ASH,2023-10-21,106.9
51,ASH,2023-10-22,107.11
52,ASH,2023-10-23,107.11
53,ASH,2023-10-24,107.33
54,ASH,2023-10-25,107.11
55,ASH,2023-10-26,106.15
56,ASH,2023-10-27,105.09
57,ASH,2023-10-28,104.67
58,ASH,2023-10-29,105.19
59,ASH,2023-10-30,105.72
60,ASH,2023-10-31,107.2
61,ASH,2023-11-01,107.95
62,ASH,2023-11-02,108.7
63,ASH,2023-11-03,109.35
64,ASH,2023-11-04,109.57
65,ASH,2023-11-05,108.7
66,ASH,2023-11-06,109.57
67,ASH,2023-11-07,108.91
68,ASH,2023-11-08,110.32
69,ASH,2023-11-09,109.44
70,ASH,2023-11-10,110.54
71,ASH,2023-11-11,110.65
72,ASH,2023-11-12,112.2
73,ASH,2023-11-13,112.53
74,ASH,2023-11-14,111.52
75,ASH,2023-11-15,110.96
76,ASH,2023-11-16,110.85
77,ASH,2023-11-17,112.4
78,ASH,2023-11-18,112.4
79,ASH,2023-11-19,113.08
80,ASH,2023-11-20,114.77
81,ASH,2023-11-21,113.86
82,ASH,2023-11-22,114.2
83,ASH,2023-11-23,113.63
84,ASH,2023-11-24,113.63
85,ASH,2023-11-25,113.63
86,ASH,2023-11-26,115.1
87,ASH,2023-11-27,116.71
88,ASH,2023-11-28,115.9
89,ASH,2023-11-29,114.74
90,ASH,2023-11-30,115.66
91,ASH,2023-12-01,117.39
92,ASH,2023-12-02,117.39
93,ASH,2023-12-03,117.86
94,ASH,2023-12-04,118.92
95,ASH,2023-12-05,118.57
96,ASH,2023-12-06,120.23
97,ASH,2023-12-07,121.43
98,ASH,2023-12-08,122.03
99,ASH,2023-12-09,122.4
100,ASH,2023-12-10,121.54
101,ASH,2023-12-11,120.45
102,ASH,2023-12-12,119.97
103,ASH,2023-12-13,120.69
104,ASH,2023-12-14,121.77
105,ASH,2023-12-15,121.17
