idx,Name,Date,Price
0,TSLA,2023-09-01,190.35
1,TSLA,2023-09-02,192.44
2,TSLA,2023-09-03,190.9
3,TSLA,2023-09-04,193.2
4,TSLA,2023-09-05,191.84
5,TSLA,2023-09-06,194.14
6,TSLA,2023-09-07,192.2
7,TSLA,2023-09-08,192.2
8,TSLA,2023-09-09,193.93
9,TSLA,2023-09-10,195.87
10,TSLA,2023-09-11,194.5
11,TSLA,2023-09-12,196.64
12,TSLA,2023-09-13,194.87
13,TSLA,2023-09-14,196.63
14,TSLA,2023-09-15,197.02
15,TSLA,2023-09-16,196.23
16,TSLA,2023-09-17,198.19
17,TSLA,2023-09-18,200.37
18,TSLA,2023-09-19,202.78
19,TSLA,2023-09-20,202.17
20,TSLA,2023-09-21,201.97
21,TSLA,2023-09-22,200.15
22,TSLA,2023-09-23,201.55
23,TSLA,2023-09-24,200.14
24,TSLA,2023-09-25,198.74
25,TSLA,2023-09-26,197.55
26,TSLA,2023-09-27,198.34
27,TSLA,2023-09-28,197.74
28,TSLA,2023-09-29,198.33
29,TSLA,2023-09-30,198.14
30,TSLA,2023-10-01,199.13
31,TSLA,2023-10-02,201.72
32,TSLA,2023-10-03,201.92
33,TSLA,2023-10-04,203.94
34,TSLA,2023-10-05,204.96
35,TSLA,2023-10-06,203.73
36,TSLA,2023-10-07,203.73
37,TSLA,2023-10-08,201.89
38,TSLA,2023-10-09,203.51
39,TSLA,2023-10-10,202.9
40,TSLA,2023-10-11,205.74
41,TSLA,2023-10-12,204.09
42,TSLA,2023-10-13,203.89
43,TSLA,2023-10-14,204.7
44,TSLA,2023-10-15,205.32
45,TSLA,2023-10-16,205.32
46,TSLA,2023-10-17,203.67
47,TSLA,2023-10-18,204.08
48,TSLA,2023-10-19,202.25
49,TSLA,2023-10-20,201.84
50,TSLA,2023-10-21,200.02
51,TSLA,2023-10-22,200.02
52,TSLA,2023-10-23,201.62
53,TSLA,2023-10-24,202.63
54,TSLA,2023-10-25,201.21
55,TSLA,2023-10-26,204.03
56,TSLA,2023-10-27,204.24
57,TSLA,2023-10-28,204.44
58,TSLA,2023-10-29,206.28
59,TSLA,2023-10-30,207.93
60,TSLA,2023-10-31,206.06
61,TSLA,2023-11-01,204.62
62,TSLA,2023-11-02,203.18
63,TSLA,2023-11-03,204.2
64,TSLA,2023-11-04,202.36
65,TSLA,2023-11-05,204.99
66,TSLA,2023-11-06,204.79
67,TSLA,2023-11-07,207.65
68,TSLA,2023-11-08,206.2
69,TSLA,2023-11-09,205.17
70,TSLA,2023-11-10,204.14
71,TSLA,2023-11-11,203.12
72,TSLA,2023-11-12,203.53
73,TSLA,2023-11-13,202.1
74,TSLA,2023-11-14,201.3
75,TSLA,2023-11-15,202.1
76,TSLA,2023-11-16,202.51
77,TSLA,2023-11-17,204.94
78,TSLA,2023-11-18,204.53
79,TSLA,2023-11-19,204.73
80,TSLA,2023-11-20,205.55
81,TSLA,2023-11-21,208.02
82,TSLA,2023-11-22,207.18
83,TSLA,2023-11-23,206.36
84,TSLA,2023-11-24,205.94
85,TSLA,2023-11-25,205.74
86,TSLA,2023-11-26,206.15
87,TSLA,2023-11-27,206.15
88,TSLA,2023-11-28,205.12
89,TSLA,2023-11-29,203.27
90,TSLA,2023-11-30,204.29
91,TSLA,2023-12-01,206.94
92,TSLA,2023-12-02,209.43
93,TSLA,2023-12-03,207.75
94,TSLA,2023-12-04,208.37
95,TSLA,2023-12-05,211.08
96,TSLA,2023-12-06,212.77
97,TSLA,2023-12-07,214.05
98,TSLA,2023-12-08,212.12
99,TSLA,2023-12-09,214.24
100,TSLA,2023-12-10,214.89
101,TSLA,2023-12-11,213.6
102,TSLA,2023-12-12,213.6
103,TSLA,2023-12-13,214.24
104,TSLA,2023-12-14,215.52
105,TSLA,2023-12-15,216.6
